trip_id,route_id
35903795,53429
35903796,53429
35903797,53429
35903798,53429
35903799,53429
35903800,53429
35903801,53429
35903802,53429
35903803,53429
35903809,53429
35903804,53429
35903805,53429
35903806,53429
35903807,53429
35903808,53429
35903812,53429
35903838,53429
35903839,53429
35903921,53429
35903920,53429
35903845,53429
35903849,53429
35903850,53429
35903851,53429
35903852,53429
35903853,53429
35903854,53429
35903855,53429
35903856,53429
35903857,53429
35903858,53429
35903859,53429
35903860,53429
35903861,53429
35903862,53429
35903863,53429
35903864,53429
35903865,53429
35903882,53429
35903866,53429
35903867,53429
35903868,53429
35903869,53429
35903870,53429
35903871,53429
35903872,53429
35903873,53429
35903874,53429
35903875,53429
35903876,53429
35903877,53429
35903878,53429
35903879,53429
35903880,53429
35903881,53429
35903883,53429
35903917,53429
35903919,53429
35903884,53429
35903885,53429
35903886,53429
35903887,53429
35903888,53429
35903889,53429
35903890,53429
35903891,53429
35903892,53429
35903893,53429
35903894,53429
35903895,53429
35903896,53429
35903897,53429
35903898,53429
35903899,53429
35903900,53429
35903901,53429
35903902,53429
35903903,53429
35903916,53429
35903915,53429
35903904,53429
35903905,53429
35903906,53429
35903907,53429
35903908,53429
35903909,53429
35903910,53429
35903911,53429
