stop_id,stop_code,stop_name
675,11013,JARVIS ST AT MT PLEASANT RD
676,11009,JARVIS ST AT QUEEN ST EAST
677,10886,JARVIS ST AT QUEEN ST EAST
678,10937,JARVIS ST AT WELLESLEY ST EAST SOUTH SIDE
679,11012,JARVIS ST AT WELLESLEY ST EAST
680,12146,JOHN GARLAND BLVD AT FINCH AVE WEST SOUTH SIDE
681,11199,JOHN GARLAND BLVD AT FINCH AVE WEST
682,3967,KEELE ST AT CATFORD RD SOUTH SIDE
683,9149,KEELE ST AT FINCH AVE WEST NORTH SIDE (FINCH WEST STATION)
685,11321,KEELE ST AT FINCH AVE WEST
686,7898,ST CLAIR AVE WEST AT KEELE ST
687,6338,CRESCENT PL AT SOUTH DR (WEST)
688,1080,GERRARD ST EAST AT BLACKBURN ST
689,5221,LANSDOWNE AVE AT SEAFORTH AVE
690,13313,SCARLETT RD AT FOXWELL ST
691,11887,ADELAIDE ST WEST AT PETER ST EAST SIDE
692,2381,EGLINTON AVE WEST AT MARTIN GROVE RD
693,6931,RANEE AVE AT YORKDALE STATION
694,4973,DIXON RD AT 950 DIXON RD
695,1301,MCCOWAN RD AT KENHATCH BLVD
696,546,BLOOR ST WEST AT MARKLAND DR (EAST) EAST SIDE
697,8179,ST CLAIR AVE WEST AT OLD WESTON RD
699,3336,BELFIELD RD AT KIPLING AVE
701,5496,LLOYD MANOR RD AT FIRWOOD CRES NORTH SIDE
702,9808,MCCOWAN RD LOOP AT STEELES AVE EAST
703,10237,MAYBROOK DR AT NEWMILL GATE
704,3087,QUEEN ST WEST AT SOHO ST
706,8215,STEELES AVE EAST AT DON MILLS RD
707,202,BATHURST ST AT ST CLAIR AVE WEST NORTH SIDE
708,1745,THE BRIDLE PATH AT LAWRENCE AVE EAST SOUTH SIDE
709,729,CALEDONIA RD AT LAWRENCE AVE WEST
710,11251,MIDLAND AVE AT STEELES AVE EAST SOUTH SIDE
711,4241,KINGSTON RD AT MCNAB BLVD EAST SIDE
714,4353,KIPLING AVE AT JUTLAND RD
715,11282,EGLINTON AVE EAST AT MARKHAM RD
717,5891,OAKDALE RD AT SHEPPARD AVE WEST NORTH SIDE
718,11775,PARKSIDE DR AT HIGH PARK BLVD
719,2683,GUILDWOOD PKWY AT NAVARRE CRES
720,5688,MIDLAND AVE AT BOARHILL DR
721,2320,EGLINTON AVE EAST AT WYNFORD DR WEST SIDE
722,9538,PRINCESS ST AT THE ESPLANADE
725,3407,CHAPLIN CRES AT AVENUE RD
726,7691,ELLESMERE RD AT HELICON GATE WEST SIDE
727,3648,GLENCAIRN AVE AT DANESBURY AVE
729,11166,THE ESPLANADE AT PRINCESS ST
730,1867,DAVISVILLE AVE AT PAILTON CRES
731,3882,JANE ST AT DUNDAS ST WEST
732,8994,YONGE ST AT GLEN ELM AVE
733,2233,EGLINTON AVE EAST AT LEBOVIC AVE EAST SIDE
735,9613,1100 BELLAMY RD NORTH
736,8630,WELLESLEY ST EAST AT ONTARIO ST
737,1875,DAVISVILLE AVE AT BELLE AYRE BLVD
738,915,DANFORTH AVE AT WOODBINE AVE
739,8052,RAILSIDE RD AT CODECO CRT EAST SIDE
740,6418,HENRIETTA ST AT RUNNYMEDE RD
741,6158,WATERBURY DR AT MARTIN GROVE RD
742,8140,ST CLAIR AVE EAST AT DENVALE RD
743,14263,BIRCHMOUNT RD AT ASHTONBEE RD
744,2873,MCCOWAN RD AT SANDHURST CIR (NORTH)
745,9691,CLONMORE DR AT CORNELL AVE
746,3052,QUEEN ST EAST AT JONES AVE
